STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct
36,021,000700,2,Block Group 2; Census Tract 7; Columbia County; New York,36021000700,360210007002,1026,374,97,277,25,4,399,77813.0,2008.0,2006.0,2011.0,0.034759358288770054,0.0,0.0,0.13402061855670103,0.034759358288770054,481.0,809.0,896.0,748.75,0.3659520469136434,0.010025062656641603
36,021,000700,3,Block Group 3; Census Tract 7; Columbia County; New York,36021000700,360210007003,780,370,144,226,13,0,383,106750.0,2012.0,2006.0,2018.0,0.0,0.0,0.0,0.0,0.0,737.0,921.0,998.0,894.25,0.24478497405931987,0.0
36,021,000700,4,Block Group 4; Census Tract 7; Columbia County; New York,36021000700,360210007004,1016,327,49,278,56,21,383,109056.0,2005.0,2002.0,2014.0,0.0,0.0,0.0,0.0,0.0,611.0,627.0,638.0,625.75,0.14695509682616337,0.05483028720626632
36,021,000700,5,Block Group 5; Census Tract 7; Columbia County; New York,36021000700,360210007005,1247,443,90,353,194,132,637,77474.0,2002.0,1997.0,2018.0,0.0,0.0,0.0,0.0,0.0,880.0,1083.0,1194.0,1060.0,0.26245816868081734,0.20722135007849293
36,021,000800,1,Block Group 1; Census Tract 8; Columbia County; New York,36021000800,360210008001,885,411,40,371,188,160,599,85625.0,2005.0,2002.0,2016.0,0.004866180048661801,0.0,0.0,0.05,0.004866180048661801,771.0,815.0,1625.0,1006.5,0.44875683179009973,0.2671118530884808
36,021,000800,2,Block Group 2; Census Tract 8; Columbia County; New York,36021000800,360210008002,781,358,27,331,180,131,538,86591.0,2002.0,2002.0,2014.0,0.036312849162011177,0.03927492447129909,0.036312849162011177,0.0,0.0,713.0,1031.0,1172.0,986.75,0.21646379543710986,0.24349442379182157
36,021,000900,1,Block Group 1; Census Tract 9; Columbia County; New York,36021000900,360210009001,873,395,116,279,205,99,600,86645.0,2006.0,2001.0,2017.0,0.11645569620253164,0.05017921146953405,0.035443037974683546,0.27586206896551724,0.0810126582278481,719.0,1025.0,1491.0,1065.0,0.28442744764638694,0.165
36,021,000900,2,Block Group 2; Census Tract 9; Columbia County; New York,36021000900,360210009002,989,432,94,338,240,167,672,81667.0,1999.0,1998.0,2004.0,0.0,0.0,0.0,0.0,0.0,833.0,888.0,990.0,899.75,0.18493965476566573,0.24851190476190477
36,021,001000,1,Block Group 1; Census Tract 10; Columbia County; New York,36021001000,360210010001,828,283,114,169,110,11,393,57772.0,2008.0,2006.0,2012.0,0.09187279151943463,0.15384615384615385,0.09187279151943463,0.0,0.0,445.0,618.0,713.0,598.5,0.2262586471392033,0.027989821882951654
36,021,001000,2,Block Group 2; Census Tract 10; Columbia County; New York,36021001000,360210010002,1170,386,180,206,98,12,484,61339.0,2010.0,2001.0,2016.0,0.04145077720207254,0.0,0.0,0.08888888888888889,0.04145077720207254,282.0,853.0,967.0,738.75,0.1619430524786764,0.024793388429752067
36,021,001000,3,Block Group 3; Census Tract 10; Columbia County; New York,36021001000,360210010003,1117,428,0,428,51,0,479,168000.0,2008.0,2008.0,,0.0,0.0,0.0,,,,,,,,0.0
36,021,001000,4,Block Group 4; Census Tract 10; Columbia County; New York,36021001000,360210010004,1129,444,84,360,102,50,546,77288.0,2000.0,1996.0,2014.0,0.0,0.0,0.0,0.0,0.0,502.0,524.0,912.75,615.6875,0.515940258236649,0.09157509157509157
36,021,001000,5,Block Group 5; Census Tract 10; Columbia County; New York,36021001000,360210010005,997,362,31,331,220,75,582,77026.0,1999.0,1997.0,2018.0,0.04696132596685083,0.0513595166163142,0.04696132596685083,0.0,0.0,843.5,882.0,1777.0,1096.125,0.3422226476263174,0.12886597938144329
36,021,001000,6,Block Group 6; Census Tract 10; Columbia County; New York,36021001000,360210010006,808,359,0,359,135,53,494,66926.0,2003.0,2003.0,,0.06685236768802229,0.06685236768802229,0.06685236768802229,,,,,,,,0.10728744939271255
36,021,001100,1,Block Group 1; Census Tract 11; Columbia County; New York,36021001100,360210011001,731,288,117,171,0,0,288,86964.0,2010.0,2004.0,2014.0,0.04861111111111111,0.0,0.0,0.11965811965811966,0.04861111111111111,829.0,884.0,1104.0,925.25,0.16402345972927512,0.0
36,021,001100,2,Block Group 2; Census Tract 11; Columbia County; New York,36021001100,360210011002,881,352,58,294,181,79,533,94231.0,2008.0,2006.0,2013.0,0.03977272727272727,0.047619047619047616,0.03977272727272727,0.0,0.0,947.0,993.0,1208.0,1035.25,0.500524243099419,0.14821763602251406
36,021,001100,3,Block Group 3; Census Tract 11; Columbia County; New York,36021001100,360210011003,1674,777,313,464,51,51,828,66964.0,2010.0,2000.0,2018.0,0.019305019305019305,0.032327586206896554,0.019305019305019305,0.0,0.0,879.0,1206.0,1367.0,1164.5,0.43285247761081536,0.06159420289855073
36,021,001100,4,Block Group 4; Census Tract 11; Columbia County; New York,36021001100,360210011004,1156,528,326,202,88,14,616,51815.0,2014.0,2010.0,2016.0,0.03787878787878788,0.09900990099009901,0.03787878787878788,0.0,0.0,851.0,1645.0,2217.0,1589.5,0.4721648387255805,0.022727272727272728
36,021,001200,1,Block Group 1; Census Tract 12; Columbia County; New York,36021001200,360210012001,1102,564,221,343,134,21,698,78846.0,2012.0,2008.0,2017.0,0.05851063829787234,0.03206997084548105,0.01950354609929078,0.09954751131221719,0.03900709219858156,1039.0,1185.0,1401.0,1202.5,0.28358347565639774,0.03008595988538682
36,021,001200,2,Block Group 2; Census Tract 12; Columbia County; New York,36021001200,360210012002,389,262,262,0,12,0,274,13934.0,2013.0,,2013.0,0.0916030534351145,,,0.0916030534351145,0.0916030534351145,224.0,1089.0,1161.0,890.75,0.5075169812832939,0.0
36,021,001200,3,Block Group 3; Census Tract 12; Columbia County; New York,36021001200,360210012003,629,216,87,129,139,25,355,53088.0,2010.0,2007.0,2015.0,0.0,0.0,0.0,0.0,0.0,175.0,1055.0,905.0,797.5,0.177992103139949,0.07042253521126761
36,021,001200,4,Block Group 4; Census Tract 12; Columbia County; New York,36021001200,360210012004,772,310,156,154,157,56,467,50083.0,2010.0,2010.0,2011.0,0.04516129032258064,0.09090909090909091,0.04516129032258064,0.0,0.0,715.0,1205.0,1469.0,1148.5,0.3358344781332081,0.11991434689507495
36,021,001300,1,Block Group 1; Census Tract 13; Columbia County; New York,36021001300,360210013001,864,371,347,24,50,0,421,19436.0,2013.0,2002.0,2014.0,0.04043126684636118,0.0,0.0,0.043227665706051875,0.04043126684636118,614.0,974.0,1299.0,965.25,0.5161289769679828,0.0
36,021,001300,2,Block Group 2; Census Tract 13; Columbia County; New York,36021001300,360210013002,920,205,135,70,158,86,363,54141.0,2016.0,2012.0,2017.0,0.0,0.0,0.0,0.0,0.0,1009.0,1089.0,1170.0,1089.25,0.5262331911550733,0.2369146005509642
36,021,001300,3,Block Group 3; Census Tract 13; Columbia County; New York,36021001300,360210013003,286,202,112,90,29,0,231,159211.0,2017.0,2018.0,2016.0,0.09900990099009901,0.2222222222222222,0.09900990099009901,0.0,0.0,1052.0,1198.0,1682.0,1282.5,0.38064037241372217,0.0
36,021,001300,4,Block Group 4; Census Tract 13; Columbia County; New York,36021001300,360210013004,465,233,89,144,101,10,334,80250.0,2012.0,2010.0,2012.0,0.0,0.0,0.0,0.0,0.0,383.75,1021.0,1132.0,889.4375,0.5242916403665936,0.029940119760479042
36,021,001300,5,Block Group 5; Census Tract 13; Columbia County; New York,36021001300,360210013005,496,205,133,72,60,9,265,62375.0,2011.0,2000.0,2016.0,0.0,0.0,0.0,0.0,0.0,1000.0,1696.0,2160.0,1638.0,0.22707366983743474,0.033962264150943396
