STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct,gent_index_log,gent_index_pct
36,021,000402,2,Block Group 2; Census Tract 4.02; Columbia County; New York,36021000402,360210004022,-500.2537313268,-159.84256559570002,20.282798834299996,-180.12536443,65.1557377028,46.0491803272,-94.6868278929,-37827.0,6.0,-2.0,6.0,0.14208490748610195,-0.07,-0.0528303467511862,0.39316239316239315,0.19491525423728814,188.0,86.0,131.0,122.75,-0.16710837913634352,0.13911700229667567,-2.842903656803127,-0.26408041089697537
36,021,000402,3,Block Group 3; Census Tract 4.02; Columbia County; New York,36021000402,360210004023,26.45669097779978,70.9694904964,16.1417751381,54.8277153583,-82.17566425780001,-41.2135359869,-11.20617376140001,25461.0,4.0,5.0,2.0,-0.08514029358235242,0.0047918805506439455,0.00474635758402547,-0.28904309074508505,-0.0898866511663779,46.25,11.5,240.5,77.4375,0.06426777442239431,-0.056424270282964165,14.052262452261822,0.6126485799510957
36,021,000402,4,Block Group 4; Census Tract 4.02; Columbia County; New York,36021000402,360210004024,190.90097208249995,211.3590831913,116.6502546688,94.70882852250003,-122.18719999999999,-43.8216,89.17188319130003,17939.0,-3.0,-6.0,-7.0,-0.05518272410052219,-0.01575757575757576,-0.013177541017373317,-0.3102935407949791,-0.04200518308314888,521.25,467.5,446.0,475.5625,-0.002150635732894063,-0.06631315902783493,18.36355287918445,0.868130144484015
36,021,000500,1,Block Group 1; Census Tract 5; Columbia County; New York,36021000500,360210005001,-85.0,-24.0,-87.0,63.0,-18.0,-19.0,-42.0,-795.5,3.0,6.0,0.0,-0.08864415663834713,-0.01906023032783596,-0.013759364011619018,-0.2838427947598253,-0.0748847926267281,230.0,300.0,165.0,248.75,-0.10605165271386996,-0.0180435672943922,2.8730660112925923,-0.09398743143566607
36,021,000600,1,Block Group 1; Census Tract 6; Columbia County; New York,36021000600,360210006001,109.0,61.0,-83.0,144.0,-8.0,-16.0,53.0,58609.0,-7.0,-1.0,8.0,-0.06984126984126984,-0.035,-0.022222222222222223,-0.13043478260869565,-0.047619047619047616,100.0,367.0,628.0,365.5,0.07870095640124558,-0.050833854615411844,16.417251397120737,2.039060688525767
36,021,000600,2,Block Group 2; Census Tract 6; Columbia County; New York,36021000600,360210006002,278.0,25.0,55.0,-30.0,56.0,14.0,81.0,25010.0,8.0,3.0,11.0,-0.026030368763557483,-0.030534351145038167,-0.026030368763557483,0.0,0.0,481.0,541.0,272.5,458.875,-0.10793742009546448,0.02434782608695652,21.97852009051587,0.7426998979838828
36,021,000600,3,Block Group 3; Census Tract 6; Columbia County; New York,36021000600,360210006003,-434.0,-152.0,-72.0,-80.0,-1.0,-7.0,-153.0,7603.0,2.0,-1.0,3.0,-0.13595166163141995,-0.08982035928143713,-0.045317220543806644,-0.18292682926829268,-0.09063444108761329,44.5,-59.5,38.25,-9.0625,0.009305243435857924,-0.017587939698492462,3.1535882263188144,0.016993892042741342
36,021,000700,1,Block Group 1; Census Tract 7; Columbia County; New York,36021000700,360210007001,-232.00661126260002,-110.00276146969998,-11.000905936699994,-99.00185553300003,-22.0,-11.0,-132.00276146969998,16071.5,15.0,18.0,-2.0,0.10905449035555556,0.12639429024403614,0.10905449035555556,0.0,0.0,188.0,788.0,996.5,690.125,,0.011449009809294114,18.418900113946293,1.2893535552158382
36,021,000700,2,Block Group 2; Census Tract 7; Columbia County; New York,36021000700,360210007002,41.0,-78.0,-2.0,-76.0,-32.0,4.0,-110.0,28245.5,6.0,6.0,0.0,-0.013913208082911362,-0.0169971671388102,-0.01327433628318584,-0.027595543059460603,-0.0006388717997255211,-158.5,9.0,-51.5,-48.0,0.034955702725436244,0.010025062656641603,4.815574234668006,0.6143137376401212
36,021,000700,3,Block Group 3; Census Tract 7; Columbia County; New York,36021000700,360210007003,11.585451354399993,80.84881209349999,8.2289416845,72.61987040899999,-90.9243243234,-15.9243243234,-10.075512229900028,68496.0,12.0,16.0,10.0,-0.014509671401926437,-0.0012748222615799976,-0.0006760778795873849,-0.029455758830974572,-0.01383359352233905,168.0,174.0,51.0,141.75,-0.05353751923836536,-0.040512125095409815,24.09114196292339,1.7574665348185687
