zipcode,pct_small_farms,pct_medium_farms,pct_large_farms,pct_low_sales_farms,pct_medium_sales_farms,pct_high_sales_farms,total_operators,pct_full_owner_operators,pct_part_owner_operators,pct_tenant_operators,pct_full_time_farmers
12569,-0.1642411642411643,0.16424116424116425,0.0,-0.12784090909090906,0.11988636363636364,0.007954545454545457,-23.0,-0.008522727272727293,0.008522727272727293,0.0,0.04659090909090913
12424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.20000000000000007,0.2,1.0
12473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12553,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5714285714285714,0.8571428571428572,-0.2857142857142857,0.8571428571428572
10969,0.047619047619047616,-0.023809523809523836,-0.023809523809523808,-0.16883116883116883,0.3116883116883117,-0.14285714285714285,-8.0,-0.16883116883116883,-0.03246753246753248,0.20129870129870128,-0.03246753246753231
12460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12538,0.16666666666666663,-0.16666666666666669,0.0,0.22515212981744415,-0.22515212981744423,0.0,12.0,0.14198782961460454,-0.1419878296146045,0.0,-0.0851926977687627
12138,-0.07451923076923073,0.03605769230769232,0.038461538461538464,-0.07236842105263153,0.0625,0.009868421052631582,-6.0,0.07072368421052633,-0.07072368421052633,0.0,0.9539473684210527
12153,-0.2333333333333334,0.23333333333333336,0.0,0.0,0.0,0.0,-7.0,-0.2142857142857143,0.21428571428571427,0.0,-0.2857142857142857
12061,0.1515151515151516,-0.1515151515151515,0.0,-0.3706293706293706,0.3706293706293706,0.0,2.0,0.18181818181818177,-0.18181818181818182,0.0,0.4755244755244755
12603,0.09090909090909094,-0.09090909090909091,0.0,0.08876811594202905,-0.043478260869565216,-0.04528985507246377,1.0,-0.11775362318840576,0.20652173913043478,-0.08876811594202899,0.07065217391304346
12413,0.33333333333333337,-0.33333333333333337,0.0,0.0,0.0,0.0,-4.0,-0.5,0.0,0.5,-0.5
12051,0.12121212121212122,-0.03030303030303033,-0.09090909090909091,-0.4945054945054946,0.42857142857142855,0.06593406593406592,-6.0,-0.35164835164835173,0.06593406593406592,0.2857142857142857,0.8131868131868132
12480,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12463,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.7142857142857143
12581,0.022727272727272707,-0.022727272727272707,0.0,-0.23076923076923073,0.07692307692307693,0.15384615384615385,-7.0,-0.33461538461538454,0.33461538461538465,0.0,0.2846153846153845
12734,0.25,-0.25,0.0,0.23684210526315785,-0.3233082706766917,0.08646616541353383,5.0,0.13157894736842102,-0.1842105263157895,0.05263157894736842,0.13533834586466154
12448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12787,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
