STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,B25039_002E,B25039_001E,B25039_003E,B25057_001E,B25058_001E,B25059_001E,B25071_001E,B19013_001E,B01003_001E,B25003_003E,B25003_002E,B25003_001E,B25038_011E,B25038_010E,B25038_015E,B25038_014E,B25038_013E,B25038_012E,B25038_003E,B25038_002E,B25038_001E,B25038_008E,B25038_007E,B25038_006E,B25038_005E,B25038_004E,B25038_009E,B25056_018E,B25056_019E,B25056_016E,B25056_017E,B25056_014E,B25056_015E,B25056_012E,B25056_013E,B25056_010E,B25056_011E,B25056_026E,B25056_027E,B25056_024E,B25056_025E,B25056_022E,B25056_023E,B25056_020E,B25056_021E,B25056_009E,B25056_008E,B25056_006E,B25056_007E,B25056_004E,B25056_005E,B25056_002E,B25056_003E,B25056_001E,B25074_001E,B25074_003E,B25074_002E,B25074_005E,B25074_004E,B25074_007E,B25074_006E,B25074_009E,B25074_008E,B25074_013E,B25074_012E,B25074_015E,B25074_014E,B25074_017E,B25074_016E,B25074_019E,B25074_018E,B25074_011E,B25074_010E,B25074_025E,B25074_024E,B25074_027E,B25074_026E,B25074_029E,B25074_028E,B25074_021E,B25074_020E,B25074_023E,B25074_022E,B25074_037E,B25074_036E,B25074_039E,B25074_038E,B25074_031E,B25074_030E,B25074_033E,B25074_032E,B25074_035E,B25074_034E,B25074_049E,B25074_048E,B25074_041E,B25074_040E,B25074_043E,B25074_042E,B25074_045E,B25074_044E,B25074_047E,B25074_046E,B25074_051E,B25074_050E,B25074_053E,B25074_052E,B25074_055E,B25074_054E,B25074_057E,B25074_056E,B25074_059E,B25074_058E,B25074_061E,B25074_060E,B25074_063E,B25074_062E,B25074_064E,B25004_005E,B25004_006E,B25004_004E,B25004_003E,B25004_002E,B25004_001E,B25004_008E,B25004_007E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_001E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,GEOID
36,001,014301,1,Block Group 1; Census Tract 143.01; Albany County; New York,1998,2000,-666666666,,,,,84063.0,731,22,329,351,7,0,0,0,0,15,0,329,351,102,75,47,105,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,15,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,0,7,0,0,0,0,0,27,27,0,0,21,21,0,0,0,0,40,351,54,18,21,57,17,24,12,66,36001014301
36,027,190203,2,Block Group 2; Census Tract 1902.03; Dutchess County; New York,1999,1999,-666666666,,,,,168438.0,982,9,255,264,0,0,0,0,0,9,0,255,264,72,65,9,64,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,5,0,5,0,0,0,264,22,0,73,93,11,9,11,35,36027190203
36,027,190204,1,Block Group 1; Census Tract 1902.04; Dutchess County; New York,2005,2005,-666666666,,,,,114423.0,1794,0,514,514,0,0,0,0,0,0,18,514,514,138,77,80,164,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,18,0,10,0,3,0,514,131,68,31,113,0,9,38,73,36027190204
36,027,190204,2,Block Group 2; Census Tract 1902.04; Dutchess County; New York,2012,2012,2012,944.0,987.0,1133.0,51.0,144125.0,1120,75,326,401,0,0,25,0,0,50,0,326,401,72,23,45,119,67,75,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,401,19,41,94,103,11,0,35,55,36027190204
36,027,190204,3,Block Group 3; Census Tract 1902.04; Dutchess County; New York,2007,2007,-666666666,,,,,120750.0,1460,10,561,571,10,0,0,0,0,0,10,561,571,85,119,112,116,119,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,24,12,0,10,0,0,0,0,571,86,69,99,114,19,51,45,42,36027190204
36,027,190204,4,Block Group 4; Census Tract 1902.04; Dutchess County; New York,2003,2006,-666666666,,,,,119550.0,1140,41,421,462,4,0,0,0,0,37,33,421,462,61,120,86,58,63,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,38,19,0,49,14,462,65,24,104,94,0,0,14,33,36027190204
36,027,190301,1,Block Group 1; Census Tract 1903.01; Dutchess County; New York,2005,2007,2014,1094.0,1188.0,1351.0,25.4,75652.0,872,98,304,402,0,12,0,20,0,66,0,304,402,81,19,109,69,26,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,65,21,0,0,0,0,0,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,16,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,12,12,0,0,0,0,12,0,0,12,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,12,23,7,20,0,0,402,25,49,53,19,14,12,71,67,36027190301
36,027,190301,2,Block Group 2; Census Tract 1903.01; Dutchess County; New York,1998,2015,2016,1573.0,1726.0,1880.0,23.5,103666.0,875,350,49,399,85,43,0,0,23,199,0,49,399,7,23,7,12,0,350,0,12,0,0,0,0,0,0,0,0,0,0,0,0,285,19,0,34,0,0,0,0,0,0,350,0,350,350,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,24,24,0,0,0,6,0,24,0,0,6,0,0,0,12,0,40,0,0,0,12,0,0,28,0,6,0,13,21,0,0,38,0,0,10,0,0,0,0,38,206,0,168,0,0,0,0,0,0,0,0,26,0,26,0,0,0,6,12,12,12,0,24,0,399,178,23,18,36,0,19,21,38,36027190301
36,027,190301,3,Block Group 3; Census Tract 1903.01; Dutchess County; New York,1998,2016,2017,1530.0,1703.0,1877.0,29.3,80714.0,1930,691,209,900,237,54,0,11,16,373,0,209,900,51,68,17,40,33,691,0,0,0,0,0,0,0,7,0,0,0,0,0,13,498,37,67,69,0,0,0,0,0,0,691,0,691,691,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,28,0,0,75,0,0,0,0,7,199,0,0,0,0,0,28,32,29,19,0,130,24,7,12,149,0,28,60,0,0,0,0,170,210,0,40,0,0,0,0,0,0,24,0,0,0,48,24,0,43,32,0,28,30,0,0,29,900,87,108,63,46,0,80,141,213,36027190301
36,027,190401,1,Block Group 1; Census Tract 1904.01; Dutchess County; New York,2002,2005,2008,1210.0,1450.0,2050.0,24.8,118630.0,1382,158,329,487,12,0,0,0,97,49,0,329,487,85,62,103,59,20,158,0,0,0,0,0,0,0,0,0,0,0,0,35,0,31,5,47,40,0,0,0,0,0,0,158,0,158,158,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,16,0,15,0,0,16,0,0,0,15,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,42,73,0,31,0,0,0,0,0,0,13,15,0,13,41,0,0,12,26,0,28,14,0,10,0,487,84,72,108,35,7,22,51,18,36027190401
36,027,190401,2,Block Group 2; Census Tract 1904.01; Dutchess County; New York,2007,2011,2018,1040.0,1250.0,1444.0,29.0,91250.0,963,94,293,387,38,11,0,0,15,30,19,293,387,67,40,53,73,41,94,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,15,25,27,10,0,0,0,0,0,84,0,94,94,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,33,0,0,0,0,0,0,0,15,5,7,11,0,0,0,30,10,15,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,6,42,0,6,10,387,62,22,42,40,6,40,54,57,36027190401
36,027,190402,1,Block Group 1; Census Tract 1904.02; Dutchess County; New York,2005,2008,2015,890.0,1041.0,1207.0,30.4,64856.0,1794,360,545,905,118,11,0,0,108,123,11,545,905,55,56,329,53,41,360,31,65,10,0,0,52,0,0,0,0,0,0,0,0,17,0,135,50,0,0,0,0,0,0,360,0,360,360,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,22,22,0,0,65,0,30,28,0,0,95,0,0,0,0,33,100,0,0,9,8,11,0,42,4,0,25,0,25,0,17,46,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,72,19,37,0,52,30,905,76,42,37,12,51,102,177,133,36027190402
36,027,190402,2,Block Group 2; Census Tract 1904.02; Dutchess County; New York,1999,1999,-666666666,,,,,117692.0,1457,21,477,498,10,0,0,11,0,0,17,477,498,135,116,66,134,9,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,7,0,11,35,498,23,118,42,77,0,11,60,90,36027190402
36,027,200001,1,Block Group 1; Census Tract 2000.01; Dutchess County; New York,2002,2005,2011,99.0,99.0,791.0,9.0,105417.0,855,66,303,369,0,0,0,0,26,40,0,303,369,111,33,50,55,54,66,0,0,14,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,14,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,40,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0,0,0,22,80,0,0,0,0,0,369,95,0,43,58,14,12,45,0,36027200001
36,027,200001,2,Block Group 2; Census Tract 2000.01; Dutchess County; New York,1994,1993,-666666666,,,,,,662,48,336,384,0,0,39,0,0,9,15,336,384,88,186,7,40,0,48,0,0,0,0,39,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,48,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,48,0,9,0,0,0,0,0,0,14,0,0,0,78,64,0,19,0,0,0,0,0,18,141,384,10,16,53,96,0,0,11,20,36027200001
36,027,200001,3,Block Group 3; Census Tract 2000.01; Dutchess County; New York,1999,2007,2016,861.0,1202.0,1436.0,30.3,79521.0,1601,292,499,791,119,0,0,0,85,88,0,499,791,127,140,98,120,14,292,33,0,37,0,0,0,0,0,0,0,0,63,0,0,0,41,55,63,0,0,0,0,0,0,229,0,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,34,0,0,0,0,0,16,0,15,26,0,0,0,0,0,18,0,0,0,0,0,0,0,0,50,11,50,0,0,0,0,0,56,133,0,41,0,0,0,0,36,0,44,0,0,0,44,0,0,0,75,49,38,52,88,19,0,791,65,57,96,120,0,11,15,106,36027200001
36,027,200002,1,Block Group 1; Census Tract 2000.02; Dutchess County; New York,2011,2013,2015,753.0,981.0,1192.0,27.1,71477.0,1382,355,383,738,88,0,10,3,40,214,0,383,738,53,64,62,144,60,355,0,75,0,26,22,15,0,0,0,23,0,13,27,0,12,0,93,25,0,9,4,0,0,6,342,5,355,355,0,14,0,0,0,0,14,0,0,5,0,8,4,0,0,37,54,0,0,0,26,7,88,1,7,41,0,0,0,0,10,46,22,0,12,54,0,0,11,0,12,5,0,19,0,0,11,0,0,0,0,0,0,0,74,101,15,0,0,0,0,0,12,0,42,12,10,49,130,17,0,35,5,27,54,46,36,34,34,738,37,68,101,100,21,45,41,54,36027200002
36,027,210101,1,Block Group 1; Census Tract 2101.01; Dutchess County; New York,2008,2014,2015,1134.0,1314.0,1466.0,29.5,70582.0,1556,403,215,618,81,18,29,0,33,242,73,215,618,57,0,60,25,0,403,22,0,0,0,0,0,0,0,0,12,0,0,0,0,65,13,125,166,0,0,0,0,0,0,403,0,403,403,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,41,41,0,0,0,59,0,34,0,0,71,12,0,0,0,0,165,0,0,0,0,16,18,0,0,87,49,29,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,26,66,40,0,5,54,0,16,29,25,16,12,618,6,0,63,79,18,112,183,0,36027210101
36,027,210101,2,Block Group 2; Census Tract 2101.01; Dutchess County; New York,-666666666,2014,2015,1050.0,1387.0,1663.0,28.7,38750.0,474,189,75,264,42,28,0,0,50,69,0,75,264,51,0,0,0,24,189,0,15,0,0,0,50,0,0,0,0,0,0,0,0,70,0,0,54,0,0,0,0,0,0,189,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,31,0,42,0,0,81,39,0,0,0,0,0,0,0,0,0,42,0,51,15,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,42,39,0,0,0,51,0,0,264,0,0,24,0,42,0,0,66,36027210101
